gene_symbol,ENTREZID
ACSS1,84532
ACSS2,55902
ADH1A,124
ADH1B,125
ADH1C,126
ADH4,127
ADH5,128
ADH6,130
ADH7,131
ADPGK,83440
AKR1A1,10327
ALDH1B1,219
ALDH2,217
ALDH3A1,218
ALDH3A2,224
ALDH3B1,221
ALDH3B2,222
ALDH7A1,501
ALDH9A1,223
ALDOA,226
ALDOB,229
ALDOC,230
BPGM,669
DLAT,1737
DLD,1738
ENO1,2023
ENO2,2026
ENO3,2027
ENO4,387712
FBP1,2203
FBP2,8789
G6PC2,57818
G6PC3,92579
GALM,130589
GAPDH,2597
GAPDHS,26330
GCK,2645
GPI,2821
HK1,3098
HK2,3099
HK3,3101
HKDC1,80201
LDHA,3939
LDHAL6A,160287
LDHAL6B,92483
LDHB,3945
LDHC,3948
MINPP1,9562
PCK1,5105
PCK2,5106
PDHA1,5160
PDHA2,5161
PDHB,5162
PFKL,5211
PFKM,5213
PFKP,5214
PGAM1,5223
PGAM2,5224
PGAM4,441531
PGK1,5230
PGK2,5232
PGM1,5236
PGM2,55276
PKLR,5313
PKM,5315
TPI1,7167
